"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
13,"San José","R",-25.1049995422,-66.15720367429999,"http://fmsanjosedecachi.blogspot.com/",,"Comunitaria Indigena", "Cachi", "Salta"
14,"LT15","R",-31.2969,-57.9966,"http://www.lt15concordia.com.ar/","https://lt15concordia.radiostream321.com/", "Comunitaria","Concordia","Entre Ríos"
15,"Inclusión FM","R",-33.0103,-58.6131,75,"http://www.inclusionfm.com.ar/",,"Popular","Gualeguaychu","Entre Ríos"
7,"Entre Rios TV", "T",-31.7948,-60.4804,"https://entreriostv.com.ar/", "Comunitaria", "https://entreriostv.com.ar/","Comunitaria","Parana","Entre Rios" 
